quarter,region,state_name,district_name,bank_group,population_group,branch_category,number_of_offices,total_deposits_crore,total_credit_crore,reported_cd_ratio,cd_ratio,cd_ratio_category,deposits_per_branch_crore,credit_per_branch_crore
FY2018-Q1,Southern,Karnataka,Dharwad,Regional Rural Banks,Semi-Urban,Commercial Branches,1,72.73,61.74,84.89,84.89,Optimal Deployment,72.73,61.74
FY2018-Q1,Southern,Karnataka,Dharwad,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,2,179.08,136.14,76.02,76.02,Optimal Deployment,89.54,68.07
FY2018-Q1,Southern,Karnataka,Dharwad,Regional Rural Banks,Urban,Commercial Branches,4,167.73,122.59,73.09,73.09,Moderate Deployment,41.93,30.65
FY2018-Q1,Southern,Karnataka,Dharwad,Regional Rural Banks,Urban,Specialized Credit Cells,3,259.63,183.61,70.72,70.72,Moderate Deployment,86.54,61.2
FY2018-Q1,Southern,Karnataka,Dharwad,Regional Rural Banks,Metropolitan,Commercial Branches,6,401.74,377.85,94.05,94.05,Strained (High Credit Deployment),66.96,62.98
FY2018-Q1,Southern,Karnataka,Dharwad,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7,509.74,483.13,94.78,94.78,Strained (High Credit Deployment),72.82,69.02
FY2018-Q1,Southern,Karnataka,Mangaluru,Public Sector Banks,Rural,Commercial Branches,10,71.45,53.03,74.22,74.22,Moderate Deployment,7.14,5.3
FY2018-Q1,Southern,Karnataka,Mangaluru,Public Sector Banks,Rural,Specialized Credit Cells,4,421.36,315.06,74.77,74.77,Moderate Deployment,105.34,78.76
FY2018-Q1,Southern,Karnataka,Mangaluru,Public Sector Banks,Semi-Urban,Commercial Branches,14,702.03,527.19,75.09,75.1,Optimal Deployment,50.14,37.66
FY2018-Q1,Southern,Karnataka,Mangaluru,Public Sector Banks,Semi-Urban,Specialized Credit Cells,6,526.52,870.9449999999999,79.74,165.42,Strained (High Credit Deployment),87.75,145.16
FY2018-Q1,Southern,Karnataka,Mangaluru,Public Sector Banks,Urban,Commercial Branches,22,1783.67,1443.38,80.92,80.92,Optimal Deployment,81.08,65.61
FY2018-Q1,Southern,Karnataka,Mangaluru,Public Sector Banks,Urban,Specialized Credit Cells,35,1377.33,1030.53,74.82,74.82,Moderate Deployment,39.35,29.44
FY2018-Q1,Southern,Karnataka,Mangaluru,Public Sector Banks,Metropolitan,Commercial Branches,27,3184.08,2633.5,82.71,82.71,Optimal Deployment,117.93,97.54
FY2018-Q1,Southern,Karnataka,Mangaluru,Public Sector Banks,Metropolitan,Specialized Credit Cells,40,3098.33,2805.57,90.55,90.55,Strained (High Credit Deployment),77.46,70.14
FY2018-Q1,Southern,Karnataka,Mangaluru,Private Sector Banks,Rural,Commercial Branches,3,184.49,128.68,69.75,69.75,Moderate Deployment,61.5,42.89
FY2018-Q1,Southern,Karnataka,Mangaluru,Private Sector Banks,Rural,Specialized Credit Cells,3,226.08,154.24,68.22,68.22,Moderate Deployment,75.36,51.41
FY2018-Q1,Southern,Karnataka,Mangaluru,Private Sector Banks,Semi-Urban,Commercial Branches,12,785.67,570.83,72.66,72.66,Moderate Deployment,65.47,47.57
FY2018-Q1,Southern,Karnataka,Mangaluru,Private Sector Banks,Semi-Urban,Specialized Credit Cells,7,653.36,463.29,70.91,70.91,Moderate Deployment,93.34,66.18
FY2018-Q1,Southern,Karnataka,Mangaluru,Private Sector Banks,Urban,Commercial Branches,17,1168.09,908.85,77.81,77.81,Optimal Deployment,68.71,53.46
FY2018-Q1,Southern,Karnataka,Mangaluru,Private Sector Banks,Urban,Specialized Credit Cells,22,1467.76,1027.07,,69.98,Moderate Deployment,66.72,46.68
FY2018-Q1,Southern,Karnataka,Mangaluru,Private Sector Banks,Metropolitan,Commercial Branches,32,2630.36,2288.46,87.0,87.0,Strained (High Credit Deployment),82.2,71.51
FY2018-Q1,Southern,Karnataka,Mangaluru,Private Sector Banks,Metropolitan,Specialized Credit Cells,36,2599.11,2292.07,88.19,88.19,Strained (High Credit Deployment),72.2,63.67
FY2018-Q1,Southern,Karnataka,Mangaluru,Foreign Banks,Rural,Commercial Branches,1,9.92,8.02,80.88,80.85,Optimal Deployment,9.92,8.02
FY2018-Q1,Southern,Karnataka,Mangaluru,Foreign Banks,Rural,Specialized Credit Cells,1,5.69,4.61,81.07,81.02,Optimal Deployment,5.69,4.61
FY2018-Q1,Southern,Karnataka,Mangaluru,Foreign Banks,Semi-Urban,Commercial Branches,1,13.52,11.66,86.22,86.24,Strained (High Credit Deployment),13.52,11.66
FY2018-Q1,Southern,Karnataka,Mangaluru,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,17.94,13.24,73.8,73.8,Moderate Deployment,17.94,13.24
FY2018-Q1,Southern,Karnataka,Mangaluru,Foreign Banks,Urban,Commercial Branches,6,660.05,490.79,74.36,74.36,Moderate Deployment,110.01,81.8
FY2018-Q1,Southern,Karnataka,Mangaluru,Foreign Banks,Urban,Specialized Credit Cells,4,708.1,452.73,85.76,63.94,Moderate Deployment,177.02,113.18
FY2018-Q1,Southern,Karnataka,Mangaluru,Foreign Banks,Metropolitan,Commercial Branches,14,985.14,816.68,82.9,82.9,Optimal Deployment,70.37,58.33
FY2018-Q1,Southern,Karnataka,Mangaluru,Foreign Banks,Metropolitan,Specialized Credit Cells,13,962.43,822.07,85.42,85.42,Strained (High Credit Deployment),74.03,63.24
FY2018-Q1,Southern,Karnataka,Mangaluru,Regional Rural Banks,Rural,Commercial Branches,1,40.27,29.3,72.77,72.76,Moderate Deployment,40.27,29.3
FY2018-Q1,Southern,Karnataka,Mangaluru,Regional Rural Banks,Rural,Specialized Credit Cells,1,32.32,24.99,77.32,77.32,Optimal Deployment,32.32,24.99
FY2018-Q1,Southern,Karnataka,Mangaluru,Regional Rural Banks,Semi-Urban,Commercial Branches,1,84.73,63.22,74.62,74.61,Moderate Deployment,84.73,63.22
FY2018-Q1,Southern,Karnataka,Mangaluru,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1,91.3,72.04,78.9,78.9,Optimal Deployment,91.3,72.04
FY2018-Q1,Southern,Karnataka,Mangaluru,Regional Rural Banks,Urban,Commercial Branches,4,248.77,184.47,74.15,74.15,Moderate Deployment,62.19,46.12
FY2018-Q1,Southern,Karnataka,Mangaluru,Regional Rural Banks,Urban,Specialized Credit Cells,2,257.65,214.81,83.37,83.37,Optimal Deployment,128.82,107.4
FY2018-Q1,Southern,Karnataka,Mangaluru,Regional Rural Banks,Metropolitan,Commercial Branches,9,149.47,132.27,88.49,88.49,Strained (High Credit Deployment),16.61,14.7
FY2018-Q1,Southern,Karnataka,Mangaluru,Regional Rural Banks,Metropolitan,Specialized Credit Cells,3,315.14,277.3,87.99,87.99,Strained (High Credit Deployment),105.05,92.43
FY2018-Q1,Southern,Karnataka,Hubballi,Public Sector Banks,Rural,Commercial Branches,6,302.18,237.96,78.75,78.75,Optimal Deployment,50.36,39.66
FY2018-Q1,Southern,Karnataka,Hubballi,Public Sector Banks,Rural,Specialized Credit Cells,6,311.85,262.98,84.33,84.33,Optimal Deployment,51.98,43.83
FY2018-Q1,Southern,Karnataka,Hubballi,Public Sector Banks,Semi-Urban,Commercial Branches,17,862.29,545.11,63.22,63.22,Moderate Deployment,50.72,32.07
FY2018-Q1,Southern,Karnataka,Hubballi,Public Sector Banks,Semi-Urban,Specialized Credit Cells,13,274.79,237.28,86.35,86.35,Strained (High Credit Deployment),21.14,18.25
FY2018-Q1,Southern,Karnataka,Hubballi,Public Sector Banks,Urban,Commercial Branches,35,1625.97,1194.35,73.45,73.45,Moderate Deployment,46.46,34.12
FY2018-Q1,Southern,Karnataka,Hubballi,Public Sector Banks,Urban,Specialized Credit Cells,19,1349.13,1052.01,77.98,77.98,Optimal Deployment,71.01,55.37
FY2018-Q1,Southern,Karnataka,Hubballi,Public Sector Banks,Metropolitan,Commercial Branches,58,2925.51,2493.11,85.22,85.22,Strained (High Credit Deployment),50.44,42.98
FY2018-Q1,Southern,Karnataka,Hubballi,Public Sector Banks,Metropolitan,Specialized Credit Cells,67,2796.84,2633.25,94.15,94.15,Strained (High Credit Deployment),41.74,39.3
FY2018-Q1,Southern,Karnataka,Hubballi,Private Sector Banks,Rural,Commercial Branches,6,365.81,318.59,87.09,87.09,Strained (High Credit Deployment),60.97,53.1
FY2018-Q1,Southern,Karnataka,Hubballi,Private Sector Banks,Rural,Specialized Credit Cells,7,309.41,259.21,83.78,83.78,Optimal Deployment,44.2,37.03
FY2018-Q1,Southern,Karnataka,Hubballi,Private Sector Banks,Semi-Urban,Commercial Branches,13,618.88,467.97,75.61,75.62,Optimal Deployment,47.61,36.0
FY2018-Q1,Southern,Karnataka,Hubballi,Private Sector Banks,Semi-Urban,Specialized Credit Cells,15,993.3,813.64,81.91,81.91,Optimal Deployment,66.22,54.24
FY2018-Q1,Southern,Karnataka,Hubballi,Private Sector Banks,Urban,Commercial Branches,17,944.38,771.86,81.73,81.73,Optimal Deployment,55.55,45.4
FY2018-Q1,Southern,Karnataka,Hubballi,Private Sector Banks,Urban,Specialized Credit Cells,17,1690.04,1433.76,84.84,84.84,Optimal Deployment,99.41,84.34
FY2018-Q1,Southern,Karnataka,Hubballi,Private Sector Banks,Metropolitan,Commercial Branches,36,1283.49,1150.59,89.65,89.65,Strained (High Credit Deployment),35.65,31.96
FY2018-Q1,Southern,Karnataka,Hubballi,Private Sector Banks,Metropolitan,Specialized Credit Cells,36,3253.37,3456.89,,106.26,Strained (High Credit Deployment),90.37,96.02
FY2018-Q1,Southern,Karnataka,Hubballi,Foreign Banks,Rural,Commercial Branches,1,6.9,4.77,,69.13,Moderate Deployment,6.9,4.77
FY2018-Q1,Southern,Karnataka,Hubballi,Foreign Banks,Rural,Specialized Credit Cells,1,5.88,3.89,66.22,66.16,Moderate Deployment,5.88,3.89
FY2018-Q1,Southern,Karnataka,Hubballi,Foreign Banks,Semi-Urban,Commercial Branches,1,15.8,13.45,85.13,85.13,Strained (High Credit Deployment),15.8,13.45
FY2018-Q1,Southern,Karnataka,Hubballi,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,19.270000000000003,8.28,86.48,42.97,Under-deployed (Surplus Liquidity),19.27,8.28
FY2018-Q1,Southern,Karnataka,Hubballi,Foreign Banks,Urban,Commercial Branches,6,599.9,416.1,69.36,69.36,Moderate Deployment,99.98,69.35
FY2018-Q1,Southern,Karnataka,Hubballi,Foreign Banks,Urban,Specialized Credit Cells,5,365.52,254.62,69.66,69.66,Moderate Deployment,73.1,50.92
FY2018-Q1,Southern,Karnataka,Hubballi,Foreign Banks,Metropolitan,Commercial Branches,13,1001.52,887.13,88.58,88.58,Strained (High Credit Deployment),77.04,68.24
FY2018-Q1,Southern,Karnataka,Hubballi,Foreign Banks,Metropolitan,Specialized Credit Cells,14,349.27,319.89,91.59,91.59,Strained (High Credit Deployment),24.95,22.85
FY2018-Q1,Southern,Karnataka,Hubballi,Regional Rural Banks,Rural,Commercial Branches,1,64.58,49.49,76.63,76.63,Optimal Deployment,64.58,49.49
FY2018-Q1,Southern,Karnataka,Hubballi,Regional Rural Banks,Rural,Specialized Credit Cells,1,58.7,45.32,77.2,77.21,Optimal Deployment,58.7,45.32
FY2018-Q1,Southern,Karnataka,Hubballi,Regional Rural Banks,Semi-Urban,Commercial Branches,2,135.78,105.54,77.73,77.73,Optimal Deployment,67.89,52.77
FY2018-Q1,Southern,Karnataka,Hubballi,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1,105.68,80.91,76.56,76.56,Optimal Deployment,105.68,80.91
FY2018-Q1,Southern,Karnataka,Hubballi,Regional Rural Banks,Urban,Commercial Branches,3,326.75,260.13,79.61,79.61,Optimal Deployment,108.92,86.71
FY2018-Q1,Southern,Karnataka,Hubballi,Regional Rural Banks,Urban,Specialized Credit Cells,3,238.15,163.25,68.55,68.55,Moderate Deployment,79.38,54.42
FY2018-Q1,Southern,Karnataka,Hubballi,Regional Rural Banks,Metropolitan,Commercial Branches,6,175.28,152.21,86.84,86.84,Strained (High Credit Deployment),29.21,25.37
FY2018-Q1,Southern,Karnataka,Hubballi,Regional Rural Banks,Metropolitan,Specialized Credit Cells,2,390.44,403.43,103.33,103.33,Strained (High Credit Deployment),195.22,201.72
FY2018-Q1,Southern,Karnataka,Kalaburagi,Public Sector Banks,Rural,Commercial Branches,4,433.32,289.09,66.72,66.72,Moderate Deployment,108.33,72.27
FY2018-Q1,Southern,Karnataka,Kalaburagi,Public Sector Banks,Rural,Specialized Credit Cells,5,363.76,305.39,83.95,83.95,Optimal Deployment,72.75,61.08
FY2018-Q1,Southern,Karnataka,Kalaburagi,Public Sector Banks,Semi-Urban,Commercial Branches,11,670.93,551.71,82.23,82.23,Optimal Deployment,60.99,50.16
FY2018-Q1,Southern,Karnataka,Kalaburagi,Public Sector Banks,Semi-Urban,Specialized Credit Cells,9,423.89,250.13,59.01,59.01,Under-deployed (Surplus Liquidity),47.1,27.79
FY2018-Q1,Southern,Karnataka,Kalaburagi,Public Sector Banks,Urban,Commercial Branches,35,2283.74,1672.18,73.22,73.22,Moderate Deployment,65.25,47.78
FY2018-Q1,Southern,Karnataka,Kalaburagi,Public Sector Banks,Urban,Specialized Credit Cells,35,662.78,488.26,73.67,73.67,Moderate Deployment,18.94,13.95
FY2018-Q1,Southern,Karnataka,Kalaburagi,Public Sector Banks,Metropolitan,Commercial Branches,81,3580.66,3390.72,94.7,94.7,Strained (High Credit Deployment),44.21,41.86
FY2018-Q1,Southern,Karnataka,Kalaburagi,Public Sector Banks,Metropolitan,Specialized Credit Cells,54,687.61,605.44,88.05,88.05,Strained (High Credit Deployment),12.73,11.21
FY2018-Q1,Southern,Karnataka,Kalaburagi,Private Sector Banks,Rural,Commercial Branches,3,305.66,240.5,78.68,78.68,Optimal Deployment,101.89,80.17
FY2018-Q1,Southern,Karnataka,Kalaburagi,Private Sector Banks,Rural,Specialized Credit Cells,5,207.58,155.19,,74.76,Moderate Deployment,41.52,31.04
FY2018-Q1,Southern,Karnataka,Kalaburagi,Private Sector Banks,Semi-Urban,Commercial Branches,12,810.93,516.57,63.7,63.7,Moderate Deployment,67.58,43.05
FY2018-Q1,Southern,Karnataka,Kalaburagi,Private Sector Banks,Semi-Urban,Specialized Credit Cells,9,749.86,623.76,83.18,83.18,Optimal Deployment,83.32,69.31
FY2018-Q1,Southern,Karnataka,Kalaburagi,Private Sector Banks,Urban,Commercial Branches,19,1198.12,854.23,71.3,71.3,Moderate Deployment,63.06,44.96
FY2018-Q1,Southern,Karnataka,Kalaburagi,Private Sector Banks,Urban,Specialized Credit Cells,19,1085.34,838.17,77.23,77.23,Optimal Deployment,57.12,44.11
FY2018-Q1,Southern,Karnataka,Kalaburagi,Private Sector Banks,Metropolitan,Commercial Branches,39,2974.28,2676.94,90.0,90.0,Strained (High Credit Deployment),76.26,68.64
FY2018-Q1,Southern,Karnataka,Kalaburagi,Private Sector Banks,Metropolitan,Specialized Credit Cells,14,1391.5,1307.03,93.93,93.93,Strained (High Credit Deployment),99.39,93.36
FY2018-Q1,Southern,Karnataka,Kalaburagi,Foreign Banks,Rural,Commercial Branches,1,6.7,5.37,80.16,80.15,Optimal Deployment,6.7,5.37
FY2018-Q1,Southern,Karnataka,Kalaburagi,Foreign Banks,Rural,Specialized Credit Cells,1,6.65,5.71,85.79,85.86,Strained (High Credit Deployment),6.65,5.71
FY2018-Q1,Southern,Karnataka,Kalaburagi,Foreign Banks,Semi-Urban,Commercial Branches,1,17.16,13.61,79.32,79.31,Optimal Deployment,17.16,13.61
FY2018-Q1,Southern,Karnataka,Kalaburagi,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,19.03,14.62,76.84,76.83,Optimal Deployment,19.03,14.62
FY2018-Q1,Southern,Karnataka,Kalaburagi,Foreign Banks,Urban,Commercial Branches,6,413.83,322.21,77.86,77.86,Optimal Deployment,68.97,53.7
FY2018-Q1,Southern,Karnataka,Kalaburagi,Foreign Banks,Urban,Specialized Credit Cells,9,165.28,127.04,76.86,76.86,Optimal Deployment,18.36,14.12
FY2018-Q1,Southern,Karnataka,Kalaburagi,Foreign Banks,Metropolitan,Commercial Branches,15,872.8,824.95,94.52,94.52,Strained (High Credit Deployment),58.19,55.0
FY2018-Q1,Southern,Karnataka,Kalaburagi,Foreign Banks,Metropolitan,Specialized Credit Cells,16,1200.02,1146.03,95.5,95.5,Strained (High Credit Deployment),75.0,71.63
FY2018-Q1,Southern,Karnataka,Kalaburagi,Regional Rural Banks,Rural,Commercial Branches,1,38.69,31.39,81.13,81.13,Optimal Deployment,38.69,31.39
FY2018-Q1,Southern,Karnataka,Kalaburagi,Regional Rural Banks,Rural,Specialized Credit Cells,1,38.33,29.96,78.17,78.16,Optimal Deployment,38.33,29.96
FY2018-Q1,Southern,Karnataka,Kalaburagi,Regional Rural Banks,Semi-Urban,Commercial Branches,2,64.48,51.22,79.43,79.44,Optimal Deployment,32.24,25.61
FY2018-Q1,Southern,Karnataka,Kalaburagi,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1,69.11,51.35,74.3,74.3,Moderate Deployment,69.11,51.35
FY2018-Q1,Southern,Karnataka,Kalaburagi,Regional Rural Banks,Urban,Commercial Branches,2,247.38,191.74,77.51,77.51,Optimal Deployment,123.69,95.87
FY2018-Q1,Southern,Karnataka,Kalaburagi,Regional Rural Banks,Urban,Specialized Credit Cells,1,293.83,252.5,85.93,85.93,Strained (High Credit Deployment),293.83,252.5
FY2018-Q1,Southern,Karnataka,Kalaburagi,Regional Rural Banks,Metropolitan,Commercial Branches,4,520.73,467.89,89.85,89.85,Strained (High Credit Deployment),130.18,116.97
FY2018-Q1,Southern,Karnataka,Kalaburagi,Regional Rural Banks,Metropolitan,Specialized Credit Cells,1,175.05,174.89,99.91,99.91,Strained (High Credit Deployment),175.05,174.89
FY2018-Q1,Southern,Tamil Nadu,Chennai,Public Sector Banks,Rural,Commercial Branches,5,167.26,142.12,84.97,84.97,Optimal Deployment,33.45,28.42
FY2018-Q1,Southern,Tamil Nadu,Chennai,Public Sector Banks,Rural,Specialized Credit Cells,4,431.82,321.25,74.39,74.39,Moderate Deployment,107.96,80.31
FY2018-Q1,Southern,Tamil Nadu,Chennai,Public Sector Banks,Semi-Urban,Commercial Branches,12,798.84,578.22,72.38,72.38,Moderate Deployment,66.57,48.18
FY2018-Q1,Southern,Tamil Nadu,Chennai,Public Sector Banks,Semi-Urban,Specialized Credit Cells,9,795.78,561.98,70.62,70.62,Moderate Deployment,88.42,62.44
FY2018-Q1,Southern,Tamil Nadu,Chennai,Public Sector Banks,Urban,Commercial Branches,22,115.11,84.89,73.75,73.75,Moderate Deployment,5.23,3.86
FY2018-Q1,Southern,Tamil Nadu,Chennai,Public Sector Banks,Urban,Specialized Credit Cells,22,996.64,763.99,76.66,76.66,Optimal Deployment,45.3,34.73
FY2018-Q1,Southern,Tamil Nadu,Chennai,Public Sector Banks,Metropolitan,Commercial Branches,58,2719.98,2576.78,94.74,94.74,Strained (High Credit Deployment),46.9,44.43
FY2018-Q1,Southern,Tamil Nadu,Chennai,Public Sector Banks,Metropolitan,Specialized Credit Cells,36,2128.29,1734.32,81.49,81.49,Optimal Deployment,59.12,48.18
FY2018-Q1,Southern,Tamil Nadu,Chennai,Private Sector Banks,Rural,Commercial Branches,5,290.72,213.69,73.5,73.5,Moderate Deployment,58.14,42.74
FY2018-Q1,Southern,Tamil Nadu,Chennai,Private Sector Banks,Rural,Specialized Credit Cells,5,173.56,139.99,80.66,80.66,Optimal Deployment,34.71,28.0
FY2018-Q1,Southern,Tamil Nadu,Chennai,Private Sector Banks,Semi-Urban,Commercial Branches,8,350.21,255.62,72.99,72.99,Moderate Deployment,43.78,31.95
FY2018-Q1,Southern,Tamil Nadu,Chennai,Private Sector Banks,Semi-Urban,Specialized Credit Cells,9,495.22,415.9,83.98,83.98,Optimal Deployment,55.02,46.21
FY2018-Q1,Southern,Tamil Nadu,Chennai,Private Sector Banks,Urban,Commercial Branches,24,1697.18,1476.17,86.98,86.98,Strained (High Credit Deployment),70.72,61.51
FY2018-Q1,Southern,Tamil Nadu,Chennai,Private Sector Banks,Urban,Specialized Credit Cells,28,2283.77,1651.03,72.29,72.29,Moderate Deployment,81.56,58.97
FY2018-Q1,Southern,Tamil Nadu,Chennai,Private Sector Banks,Metropolitan,Commercial Branches,39,3315.78,2675.87,80.7,80.7,Optimal Deployment,85.02,68.61
FY2018-Q1,Southern,Tamil Nadu,Chennai,Private Sector Banks,Metropolitan,Specialized Credit Cells,57,2859.99,2704.2,94.55,94.55,Strained (High Credit Deployment),50.18,47.44
FY2018-Q1,Southern,Tamil Nadu,Chennai,Foreign Banks,Rural,Commercial Branches,1,5.0,3.6,71.94,72.0,Moderate Deployment,5.0,3.6
FY2018-Q1,Southern,Tamil Nadu,Chennai,Foreign Banks,Rural,Specialized Credit Cells,1,8.05,6.34,78.71,78.76,Optimal Deployment,8.05,6.34
FY2018-Q1,Southern,Tamil Nadu,Chennai,Foreign Banks,Semi-Urban,Commercial Branches,1,21.09,17.96,85.14,85.16,Strained (High Credit Deployment),21.09,17.96
FY2018-Q1,Southern,Tamil Nadu,Chennai,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,6.46,4.71,,72.91,Moderate Deployment,6.46,4.71
FY2018-Q1,Southern,Tamil Nadu,Chennai,Foreign Banks,Urban,Commercial Branches,8,292.14,235.3,80.54,80.54,Optimal Deployment,36.52,29.41
FY2018-Q1,Southern,Tamil Nadu,Chennai,Foreign Banks,Urban,Specialized Credit Cells,7,479.95,336.31,70.07,70.07,Moderate Deployment,68.56,48.04
FY2018-Q1,Southern,Tamil Nadu,Chennai,Foreign Banks,Metropolitan,Commercial Branches,19,656.11,652.81,99.5,99.5,Strained (High Credit Deployment),34.53,34.36
FY2018-Q1,Southern,Tamil Nadu,Chennai,Foreign Banks,Metropolitan,Specialized Credit Cells,12,591.59,612.11,103.47,103.47,Strained (High Credit Deployment),49.3,51.01
FY2018-Q1,Southern,Tamil Nadu,Chennai,Regional Rural Banks,Rural,Commercial Branches,1,66.12,45.27,68.47,68.47,Moderate Deployment,66.12,45.27
FY2018-Q1,Southern,Tamil Nadu,Chennai,Regional Rural Banks,Rural,Specialized Credit Cells,1,52.96,43.23,81.63,81.63,Optimal Deployment,52.96,43.23
FY2018-Q1,Southern,Tamil Nadu,Chennai,Regional Rural Banks,Semi-Urban,Commercial Branches,1,51.27,42.22,82.35,82.35,Optimal Deployment,51.27,42.22
FY2018-Q1,Southern,Tamil Nadu,Chennai,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,2,125.53,89.88,71.6,71.6,Moderate Deployment,62.76,44.94
FY2018-Q1,Southern,Tamil Nadu,Chennai,Regional Rural Banks,Urban,Commercial Branches,2,262.47,204.17,77.79,77.79,Optimal Deployment,131.24,102.08
FY2018-Q1,Southern,Tamil Nadu,Chennai,Regional Rural Banks,Urban,Specialized Credit Cells,4,245.88,228.97,76.89,93.12,Strained (High Credit Deployment),61.47,57.24
FY2018-Q1,Southern,Tamil Nadu,Chennai,Regional Rural Banks,Metropolitan,Commercial Branches,6,323.13,283.47,87.73,87.73,Strained (High Credit Deployment),53.86,47.24
FY2018-Q1,Southern,Tamil Nadu,Chennai,Regional Rural Banks,Metropolitan,Specialized Credit Cells,8,415.71,383.6,92.28,92.28,Strained (High Credit Deployment),51.96,47.95
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Public Sector Banks,Rural,Commercial Branches,7,519.35,398.66,87.65,76.76,Optimal Deployment,74.19,56.95
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Public Sector Banks,Rural,Specialized Credit Cells,5,402.77,321.73,79.88,79.88,Optimal Deployment,80.55,64.35
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Public Sector Banks,Semi-Urban,Commercial Branches,7,1057.69,849.61,80.33,80.33,Optimal Deployment,151.1,121.37
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Public Sector Banks,Semi-Urban,Specialized Credit Cells,7,583.1,490.58,84.13,84.13,Optimal Deployment,83.3,70.08
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Public Sector Banks,Urban,Commercial Branches,1,2267.86,1741.85,76.81,76.81,Optimal Deployment,2267.86,1741.85
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Public Sector Banks,Urban,Specialized Credit Cells,44,1195.02,910.37,76.18,76.18,Optimal Deployment,27.16,20.69
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Public Sector Banks,Metropolitan,Commercial Branches,54,1688.59,1705.82,101.02,101.02,Strained (High Credit Deployment),31.27,31.59
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Public Sector Banks,Metropolitan,Specialized Credit Cells,40,2697.05,2434.67,90.27,90.27,Strained (High Credit Deployment),67.43,60.87
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Private Sector Banks,Rural,Commercial Branches,4,422.59,329.74,78.03,78.03,Optimal Deployment,105.65,82.44
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Private Sector Banks,Rural,Specialized Credit Cells,4,460.93,324.16,70.33,70.33,Moderate Deployment,115.23,81.04
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Private Sector Banks,Semi-Urban,Commercial Branches,12,731.5,514.77,70.37,70.37,Moderate Deployment,60.96,42.9
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Private Sector Banks,Semi-Urban,Specialized Credit Cells,6,892.49,735.13,82.37,82.37,Optimal Deployment,148.75,122.52
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Private Sector Banks,Urban,Commercial Branches,21,820.78,645.93,78.7,78.7,Optimal Deployment,39.08,30.76
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Private Sector Banks,Urban,Specialized Credit Cells,19,1167.32,916.33,78.5,78.5,Optimal Deployment,61.44,48.23
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Private Sector Banks,Metropolitan,Commercial Branches,25,3669.29,3886.52,105.92,105.92,Strained (High Credit Deployment),146.77,155.46
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Private Sector Banks,Metropolitan,Specialized Credit Cells,21,2869.46,2484.25,86.58,86.58,Strained (High Credit Deployment),136.64,118.3
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Foreign Banks,Rural,Commercial Branches,1,8.46,6.62,78.85,78.25,Optimal Deployment,8.46,6.62
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Foreign Banks,Rural,Specialized Credit Cells,1,8.08,5.39,66.73,66.71,Moderate Deployment,8.08,5.39
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Foreign Banks,Semi-Urban,Commercial Branches,1,19.91,13.53,67.95,67.96,Moderate Deployment,19.91,13.53
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,15.96,13.85,86.78,86.78,Strained (High Credit Deployment),15.96,13.85
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Foreign Banks,Urban,Commercial Branches,8,304.17,260.89,85.77,85.77,Strained (High Credit Deployment),38.02,32.61
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Foreign Banks,Urban,Specialized Credit Cells,8,535.59,402.65,75.18,75.18,Optimal Deployment,66.95,50.33
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Foreign Banks,Metropolitan,Commercial Branches,10,1023.36,946.23,92.46,92.46,Strained (High Credit Deployment),102.34,94.62
FY2018-Q1,Southern,Tamil Nadu,Coimbatore,Foreign Banks,Metropolitan,Specialized Credit Cells,13,922.63,730.98,79.23,79.23,Optimal Deployment,70.97,56.23
