quarter,region,state_name,district_name,bank_group,population_group,branch_category,number_of_offices,total_deposits_crore,total_credit_crore,reported_cd_ratio
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Public Sector Banks,Metropolitan,Commercial Branches,31.0,5604.32,4173.82,74.48
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Public Sector Banks,Metropolitan,Specialized Credit Cells,36.0,4691.49,4601.99,98.09
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Private Sector Banks,Rural,Commercial Branches,4.0,376.86,274.56,72.86
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Private Sector Banks,Rural,Specialized Credit Cells,5.0,340.72,262.89,77.16
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Private Sector Banks,Semi-Urban,Commercial Branches,11.0,692.96,518.52,74.83
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Private Sector Banks,Semi-Urban,Specialized Credit Cells,11.0,944.86,660.05,69.86
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Private Sector Banks,Urban,Commercial Branches,17.0,1566.89,1128.3,72.01
FY2019-Q2,Central,UTTAR PRADESH ,Gautam Buddha Nagar,Private Sector Banks,Urban,Specialized Credit Cells,14.0,2927.97,1816.91,62.05
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Private Sector Banks,Metropolitan,Commercial Branches,25.0,3970.38,3951.05,99.51
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Private Sector Banks,Metropolitan,Specialized Credit Cells,21.0,3031.52,2305.58,76.05
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Foreign Banks,Rural,Commercial Branches,1.0,11.45,8.6,75.1
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Foreign Banks,Rural,Specialized Credit Cells,1.0,5.0,3.68,73.53
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Foreign Banks,Semi-Urban,Commercial Branches,1.0,11.37,8.58,75.45
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,7.86,6.27,79.83
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Foreign Banks,Urban,Commercial Branches,5.0,112.26,79.59,70.89
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Foreign Banks,Urban,Specialized Credit Cells,7.0,341.87,248.34,72.64
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Foreign Banks,Metropolitan,Commercial Branches,9.0,619.1,561.59,90.71
FY2019-Q2,Central,UTTAR PRADESH ,Gautam Buddha Nagar,Foreign Banks,Metropolitan,Specialized Credit Cells,20.0,550.95,539.67,97.95
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Regional Rural Banks,Rural,Commercial Branches,1.0,43.78,32.62,74.52
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,24.01,17.78,74.06
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,110.97,85.35,76.91
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,87.54,57.44,65.61
FY2019-Q2,Central,UTTAR PRADESH ,Gautam Buddha Nagar,Regional Rural Banks,Urban,Commercial Branches,5.0,323.55,251.9,77.86
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Regional Rural Banks,Urban,Specialized Credit Cells,2.0,280.59,237.31,84.57
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Regional Rural Banks,Metropolitan,Commercial Branches,3.0,740.03,655.62,88.59
FY2019-Q2,Central,Uttar Pradesh,Gautam Buddha Nagar,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7.0,630.0,549.55,87.23
FY2019-Q2,Central,Uttar Pradesh,Meerut,Public Sector Banks,Rural,Commercial Branches,6.0,552.16,419.32,75.94
FY2019-Q2,Central,UTTAR PRADESH ,Meerut,Public Sector Banks,Rural,Specialized Credit Cells,6.0,349.41,265.25,75.91
FY2019-Q2,Central,Uttar Pradesh,Meerut,Public Sector Banks,Semi-Urban,Commercial Branches,12.0,843.65,597.7,70.85
FY2019-Q2,Central,Uttar Pradesh,Meerut,Public Sector Banks,Semi-Urban,Specialized Credit Cells,8.0,815.71,585.25,71.75
FY2019-Q2,Central,Uttar Pradesh,Meerut,Public Sector Banks,Urban,Commercial Branches,15.0,3431.05,2441.07,71.15
FY2019-Q2,Central,Uttar Pradesh,Meerut,Public Sector Banks,Urban,Specialized Credit Cells,33.0,"2,157.70",1735.1,80.41
FY2019-Q2,Central,Uttar Pradesh,Meerut,Public Sector Banks,Metropolitan,Commercial Branches,31.0,5769.82,5002.2,86.7
FY2019-Q2,Central,Uttar Pradesh,Meerut,Public Sector Banks,Metropolitan,Specialized Credit Cells,36.0,3645.9,3365.87,92.32
FY2019-Q2,Central,Uttar Pradesh,Meerut,Private Sector Banks,Rural,Commercial Branches,7.0,417.07,327.86,78.61
FY2019-Q2,Central,Uttar Pradesh,Meerut,Private Sector Banks,Rural,Specialized Credit Cells,5.0,175.19,156.26,89.2
FY2019-Q2,Central,Uttar Pradesh,Meerut,Private Sector Banks,Semi-Urban,Commercial Branches,13.0,526.82,420.63,79.84
FY2019-Q2,Central,Uttar Pradesh,Meerut,Private Sector Banks,Semi-Urban,Specialized Credit Cells,12.0,1232.08,941.74,76.44
FY2019-Q2,Central,Uttar Pradesh,Meerut,Private Sector Banks,Urban,Commercial Branches,28.0,1308.67,1164.46,88.98
FY2019-Q2,Central,Uttar Pradesh,Meerut,Private Sector Banks,Urban,Specialized Credit Cells,28.0,937.67,721.71,76.97
FY2019-Q2,Central,Uttar Pradesh,Meerut,Private Sector Banks,Metropolitan,Commercial Branches,50.0,5630.11,5275.53,93.7
FY2019-Q2,Central,Uttar Pradesh,Meerut,Private Sector Banks,Metropolitan,Specialized Credit Cells,46.0,4810.74,4662.33,96.92
FY2019-Q2,Central,Uttar Pradesh,Meerut,Foreign Banks,Rural,Commercial Branches,1.0,6.12,4.48,73.24
FY2019-Q2,Central,Uttar Pradesh,Meerut,Foreign Banks,Rural,Specialized Credit Cells,1.0,8.54,7.24,84.82
FY2019-Q2,Central,Uttar Pradesh,Meerut,Foreign Banks,Semi-Urban,Commercial Branches,1.0,10.18,7.55,74.19
FY2019-Q2,Central,Uttar Pradesh,Meerut,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,16.99,12.67,74.6
FY2019-Q2,Central,Uttar Pradesh,Meerut,Foreign Banks,Urban,Commercial Branches,4.0,582.96,427.19,73.28
FY2019-Q2,Central,Uttar Pradesh,Meerut,Foreign Banks,Urban,Specialized Credit Cells,4.0,376.67,293.36,77.88
FY2019-Q2,Central,Uttar Pradesh,Meerut,Foreign Banks,Metropolitan,Commercial Branches,15.0,1007.1,867.59,86.15
FY2019-Q2,Central,Uttar Pradesh,Meerut,Foreign Banks,Metropolitan,Specialized Credit Cells,15.0,292.46,277.33,94.83
FY2019-Q2,Central,Uttar Pradesh,Meerut,Regional Rural Banks,Rural,Commercial Branches,1.0,37.86,27.25,71.97
FY2019-Q2,Central,Uttar Pradesh,Meerut,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,83.92,64.48,76.83
FY2019-Q2,Central,Uttar Pradesh,Meerut,Regional Rural Banks,Semi-Urban,Commercial Branches,1.0,199.12,142.53,71.58
FY2019-Q2,Central,Uttar Pradesh,Meerut,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,126.91,102.7,80.92
FY2019-Q2,Central,Uttar Pradesh,Meerut,Regional Rural Banks,Urban,Commercial Branches,2.0,257.23,224.7,87.35
FY2019-Q2,Central,Uttar Pradesh,Meerut,Regional Rural Banks,Urban,Specialized Credit Cells,3.0,287.44,212.14,73.8
FY2019-Q2,Central,Uttar Pradesh,Meerut,Regional Rural Banks,Metropolitan,Commercial Branches,9.0,452.92,452.29,99.86
FY2019-Q2,Central,Uttar Pradesh,Meerut,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7.0,440.37,418.59,95.05
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Public Sector Banks,Rural,Commercial Branches,5.0,423.32,353.75,83.57
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Public Sector Banks,Rural,Specialized Credit Cells,6.0,532.74,412.33,77.4
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Public Sector Banks,Semi-Urban,Commercial Branches,8.0,1321.98,971.15,73.46
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Public Sector Banks,Semi-Urban,Specialized Credit Cells,11.0,780.08,598.05,76.67
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Public Sector Banks,Urban,Commercial Branches,30.0,1427.98,972.68,68.12
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Public Sector Banks,Urban,Specialized Credit Cells,30.0,2501.3,2206.27,88.2
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Public Sector Banks,Metropolitan,Commercial Branches,54.0,5580.54,4586.25,82.18
FY2019-Q2,Central,Uttar Pradesh,GORAKHPUR,Public Sector Banks,Metropolitan,Specialized Credit Cells,45.0,3633.44,3194.33,87.91
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Private Sector Banks,Rural,Commercial Branches,3.0,406.95,313.39,77.01
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Private Sector Banks,Rural,Specialized Credit Cells,6.0,397.0,337.11,84.92
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Private Sector Banks,Semi-Urban,Commercial Branches,14.0,566.47,409.41,
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Private Sector Banks,Semi-Urban,Specialized Credit Cells,11.0,350.2,220.14,62.86
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Private Sector Banks,Urban,Commercial Branches,28.0,2270.15,1707.63,75.22
FY2019-Q2,Central,  uttar pradesh,Gorakhpur,Private Sector Banks,Urban,Specialized Credit Cells,24.0,1244.89,946.52,76.03
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Private Sector Banks,Metropolitan,Commercial Branches,25.0,1201.47,1031.06,85.82
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Private Sector Banks,Metropolitan,Specialized Credit Cells,50.0,3343.44,3236.74,96.81
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Foreign Banks,Rural,Commercial Branches,1.0,5.0,3.95,78.94
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Foreign Banks,Rural,Specialized Credit Cells,1.0,5.6,4.34,77.53
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Foreign Banks,Semi-Urban,Commercial Branches,1.0,14.91,11.5,77.12
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,18.0,13.56,75.35
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Foreign Banks,Urban,Commercial Branches,3.0,507.81,365.78,72.03
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Foreign Banks,Urban,Specialized Credit Cells,5.0,280.67,262.64,93.57
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Foreign Banks,Metropolitan,Commercial Branches,13.0,650.95,552.9,84.94
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Foreign Banks,Metropolitan,Specialized Credit Cells,10.0,1276.73,1180.51,
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Regional Rural Banks,Rural,Commercial Branches,1.0,82.4,63.18,76.68
FY2019-Q2,Central,UTTAR PRADESH ,Gorakhpur,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,64.94,59.34,91.38
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Regional Rural Banks,Semi-Urban,Commercial Branches,1.0,130.45,112.7,
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,2.0,140.79,90.62,
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Regional Rural Banks,Urban,Commercial Branches,3.0,396.53,290.36,73.23
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Regional Rural Banks,Urban,Specialized Credit Cells,2.0,332.63,223.43,67.17
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Regional Rural Banks,Metropolitan,Commercial Branches,7.0,490.74,471.82,96.15
FY2019-Q2,Central,Uttar Pradesh,Gorakhpur,Regional Rural Banks,Metropolitan,Specialized Credit Cells,6.0,636.78,522.56,82.06
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Public Sector Banks,Rural,Commercial Branches,5.0,397.57,306.95,77.21
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Public Sector Banks,Rural,Specialized Credit Cells,4.0,568.56,442.95,77.91
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Public Sector Banks,Semi-Urban,Commercial Branches,18.0,1369.29,1126.86,
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Public Sector Banks,Semi-Urban,Specialized Credit Cells,13.0,1348.66,906.26,67.2
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Public Sector Banks,Urban,Commercial Branches,26.0,1620.82,1300.42,80.23
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Public Sector Banks,Urban,Specialized Credit Cells,15.0,2194.05,1875.0,85.46
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Public Sector Banks,Metropolitan,Commercial Branches,49.0,5076.5,5565.27,109.63
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Public Sector Banks,Metropolitan,Specialized Credit Cells,67.0,3935.59,3648.87,92.71
FY2019-Q2,Central,UTTAR PRADESH ,Bareilly,Private Sector Banks,Rural,Commercial Branches,2.0,256.75,187.76,73.13
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Private Sector Banks,Rural,Specialized Credit Cells,7.0,515.99,377.21,73.1
FY2019-Q2,Central,Uttar Pradesh,BAREILLY,Private Sector Banks,Semi-Urban,Commercial Branches,14.0,705.02,581.1,82.42
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Private Sector Banks,Semi-Urban,Specialized Credit Cells,7.0,991.9,783.51,78.99
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Private Sector Banks,Urban,Commercial Branches,31.0,1045.91,769.47,73.57
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Private Sector Banks,Urban,Specialized Credit Cells,15.0,1501.12,1162.8,77.46
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Private Sector Banks,Metropolitan,Commercial Branches,46.0,3356.26,2881.14,85.84
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Private Sector Banks,Metropolitan,Specialized Credit Cells,43.0,1021.85,984.62,96.36
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Foreign Banks,Rural,Commercial Branches,1.0,5.0,3.69,73.75
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Foreign Banks,Rural,Specialized Credit Cells,1.0,5.0,3.78,75.67
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Foreign Banks,Semi-Urban,Commercial Branches,1.0,11.25,7.49,66.55
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,14.8,11.69,79.02
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Foreign Banks,Urban,Commercial Branches,7.0,739.47,499.02,67.48
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Foreign Banks,Urban,Specialized Credit Cells,7.0,443.61,305.14,68.79
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Foreign Banks,Metropolitan,Commercial Branches,10.0,985.21,904.1,91.77
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Foreign Banks,Metropolitan,Specialized Credit Cells,12.0,878.77,873.2,99.37
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Rural,Commercial Branches,1.0,84.26,52.24,61.99
FY2019-Q2,Central,UTTAR PRADESH ,Bareilly,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,68.51,59.31,86.57
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Semi-Urban,Commercial Branches,1.0,150.32,112.87,75.08
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,,77.13,
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Urban,Commercial Branches,3.0,332.44,268.43,80.75
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Urban,Specialized Credit Cells,3.0,284.82,211.28,74.18
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Metropolitan,Commercial Branches,4.0,523.53,466.09,89.03
FY2019-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Metropolitan,Specialized Credit Cells,4.0,498.95,509.68,102.15
FY2019-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Rural,Commercial Branches,4.0,542.66,394.2,72.64
FY2019-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Rural,Specialized Credit Cells,5.0,570.02,426.67,74.85
FY2019-Q2,Eastern,WEST BENGAL ,Kolkata,Public Sector Banks,Semi-Urban,Commercial Branches,16.0,824.23,618.53,75.04
FY2019-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Semi-Urban,Specialized Credit Cells,6.0,1264.16,928.7,73.46
FY2019-Q2,Eastern,West Bengal,KOLKATA,Public Sector Banks,Urban,Commercial Branches,30.0,1774.61,1342.11,75.63
FY2019-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Urban,Specialized Credit Cells,19.0,999.62,811.59,81.19
FY2019-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Metropolitan,Commercial Branches,45.0,2890.81,2610.05,90.29
FY2019-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Metropolitan,Specialized Credit Cells,63.0,3386.71,3290.13,97.15
FY2019-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Rural,Commercial Branches,3.0,266.73,219.61,82.33
FY2019-Q2,Eastern,WEST BENGAL ,Kolkata,Private Sector Banks,Rural,Specialized Credit Cells,6.0,425.88,306.28,71.92
FY2019-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Semi-Urban,Commercial Branches,10.0,661.74,544.0,82.21
FY2019-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Semi-Urban,Specialized Credit Cells,14.0,613.72,433.77,70.68
FY2019-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Urban,Commercial Branches,15.0,1150.95,852.68,74.08
FY2019-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Urban,Specialized Credit Cells,21.0,1277.62,1047.56,81.99
FY2019-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Metropolitan,Commercial Branches,43.0,2294.48,2082.83,90.78
FY2019-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Metropolitan,Specialized Credit Cells,57.0,,2803.08,101.49
FY2019-Q2,Eastern,West Bengal,KOLKATA,Foreign Banks,Rural,Commercial Branches,1.0,8.75,7.41,84.71
FY2019-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Rural,Specialized Credit Cells,1.0,7.54,6.24,82.81
FY2019-Q2,Eastern,WEST BENGAL ,Kolkata,Foreign Banks,Semi-Urban,Commercial Branches,1.0,14.79,10.47,70.78
FY2019-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,22.21,18.8,84.65
FY2019-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Urban,Commercial Branches,7.0,302.09,230.09,76.17
FY2019-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Urban,Specialized Credit Cells,5.0,269.77,225.83,83.71
FY2019-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Metropolitan,Commercial Branches,14.0,980.48,882.33,89.99
FY2019-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Metropolitan,Specialized Credit Cells,26.0,1109.63,1141.34,102.86
FY2019-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Rural,Commercial Branches,1.0,78.85,55.77,
FY2019-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,16.4,12.58,76.69
FY2019-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,155.87,124.02,79.56
FY2019-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,2.0,112.39,87.37,77.74
FY2019-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Urban,Commercial Branches,3.0,191.31,146.54,76.6
FY2019-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Urban,Specialized Credit Cells,3.0,396.0,294.17,74.29
FY2019-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Metropolitan,Commercial Branches,4.0,292.24,251.04,85.9
FY2019-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Metropolitan,Specialized Credit Cells,6.0,542.43,475.9,87.74
FY2019-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Rural,Commercial Branches,7.0,747.88,597.6,79.91
FY2019-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Rural,Specialized Credit Cells,5.0,618.79,401.65,64.91
FY2019-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Semi-Urban,Commercial Branches,18.0,1472.25,1039.53,70.61
FY2019-Q2,Eastern,WEST BENGAL ,Howrah,Public Sector Banks,Semi-Urban,Specialized Credit Cells,16.0,1131.57,779.12,68.85
FY2019-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Urban,Commercial Branches,44.0,1792.12,1321.32,73.73
FY2019-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Urban,Specialized Credit Cells,30.0,2119.55,1575.26,74.32
FY2019-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Metropolitan,Commercial Branches,94.0,1744.9,1721.75,98.67
FY2019-Q2,Eastern,West Bengal,HOWRAH,Public Sector Banks,Metropolitan,Specialized Credit Cells,40.0,3402.71,3116.64,91.59
FY2019-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Rural,Commercial Branches,4.0,407.2,291.24,71.52
FY2019-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Rural,Specialized Credit Cells,5.0,470.79,379.28,80.56
FY2019-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Semi-Urban,Commercial Branches,9.0,1124.93,801.62,71.26
FY2019-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Semi-Urban,Specialized Credit Cells,8.0,664.21,521.7,78.54
FY2019-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Urban,Commercial Branches,19.0,1679.68,1177.31,
FY2019-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Urban,Specialized Credit Cells,19.0,1577.41,1136.37,72.04
FY2019-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Metropolitan,Commercial Branches,39.0,3712.82,3504.78,94.4
FY2019-Q2,Eastern,  west bengal,Howrah,Private Sector Banks,Metropolitan,Specialized Credit Cells,36.0,2358.33,2201.56,93.35
FY2019-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Rural,Commercial Branches,1.0,9.26,6.6,71.26
FY2019-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Rural,Specialized Credit Cells,1.0,13.12,10.51,80.1
FY2019-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Semi-Urban,Commercial Branches,1.0,21.37,15.19,71.09
FY2019-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,15.5,10.9,70.29
FY2019-Q2,Eastern,West Bengal,HOWRAH,Foreign Banks,Urban,Commercial Branches,4.0,666.11,523.74,78.63
FY2019-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Urban,Specialized Credit Cells,4.0,454.91,348.99,76.72
FY2019-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Metropolitan,Commercial Branches,10.0,967.88,927.73,95.85
FY2019-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Metropolitan,Specialized Credit Cells,14.0,1315.54,1274.57,96.89
FY2019-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Rural,Commercial Branches,1.0,40.25,30.13,74.86
FY2019-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,100.04,85.65,85.61
FY2019-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,120.63,93.77,77.73
FY2019-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,104.29,82.46,79.07
FY2019-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Urban,Commercial Branches,3.0,279.14,180.88,64.8
FY2019-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Urban,Specialized Credit Cells,3.0,228.54,170.02,74.39
FY2019-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Metropolitan,Commercial Branches,6.0,417.16,365.16,87.54
FY2019-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7.0,570.55,565.47,99.11
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Rural,Commercial Branches,9.0,378.3,275.58,72.85
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Rural,Specialized Credit Cells,6.0,464.4,372.66,80.25
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Semi-Urban,Commercial Branches,8.0,695.45,536.51,77.15
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Semi-Urban,Specialized Credit Cells,,1093.79,844.78,
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Urban,Commercial Branches,35.0,1557.68,1129.72,72.53
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Urban,Specialized Credit Cells,24.0,976.74,730.1,74.75
FY2019-Q2,Eastern,WEST BENGAL ,North 24 Parganas,Public Sector Banks,Metropolitan,Commercial Branches,81.0,5147.63,4467.57,86.79
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Metropolitan,Specialized Credit Cells,45.0,3593.09,3370.44,93.8
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Rural,Commercial Branches,5.0,138.31,105.2,76.06
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Rural,Specialized Credit Cells,4.0,312.93,250.82,80.15
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Semi-Urban,Commercial Branches,8.0,774.83,587.05,75.77
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Semi-Urban,Specialized Credit Cells,9.0,785.24,622.34,79.25
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Urban,Commercial Branches,29.0,2490.79,1967.85,79.01
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Urban,Specialized Credit Cells,12.0,2212.98,1645.55,74.36
FY2019-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Metropolitan,Commercial Branches,54.0,4177.5,3332.62,79.78
