bank_name,bank_group,established_year,ownership_type,fiscal_year,total_deposits_crore,total_advances_crore,gross_npa_crore,net_npa_crore,gnpa_ratio_pct,nnpa_ratio_pct,cd_ratio_pct,return_on_assets_pct,return_on_equity_pct,net_profit_crore
HSBC Ltd.,Foreign Banks,1853,Foreign,FY2020,21089.54,16766.18,472.81,139.16,2.82,0.83,79.5,-0.02,-0.21,-3.37
HSBC Ltd.,Foreign Banks,1853,Foreign,FY2021,23571.54,16311.51,487.71,153.33,2.99,0.94,69.2,0.53,6.51,99.94
HSBC Ltd.,Foreign Banks,1853,Foreign,FY2022,25322.95,19878.52,554.61,145.11,2.79,0.73,78.5,1.04,12.47,210.69
HSBC Ltd.,Foreign Banks,1853,Foreign,FY2023,26350.62,18419.08,373.91,114.2,2.03,0.62,69.9,0.87,8.8,183.4
hsbc ltd.  ,Foreign Banks,1853,Foreign,FY2024,28132.11,19748.74,296.23,102.69,1.5,0.52,70.2,,12.37,245.31
Deutsche Bank AG,Foreign Banks,1980,Foreign,FY2018,18446.71,12672.89,505.65,150.81,3.99,1.19,68.7,-0.4,-3.89,-59.03
Deutsche Bank AG,Foreign Banks,1980,Foreign,FY2019,20191.88,16153.5,552.45,137.3,3.42,0.85,80.0,-0.13,-1.44,-21.0
Deutsche Bank AG,Foreign Banks,1980,Foreign,FY2020,22183.65,16238.43,518.01,128.28,3.19,0.79,73.2,-0.1,-1.24,-17.75
deutsche bank ag  ,Foreign Banks,1980,Foreign,FY2021,23478.02,16387.66,601.43,139.3,3.67,0.85,69.8,0.43,4.56,80.76
Deutsche Bank AG,Foreign Banks,1980,Foreign,FY2022,25330.75,19985.96,495.65,159.89,2.48,0.8,78.9,0.59,6.12,119.56
Deutsche Bank AG,Foreign Banks,1980,Foreign,FY2023,26077.25,21487.65,655.37,184.79,3.05,0.86,82.4,0.66,6.12,137.69
Deutsche Bank AG,Foreign Banks,1980,Foreign,FY2024,27871.83,21544.92,398.58,96.95,1.85,0.45,77.3,1.04,12.85,231.89
DBS Bank India,Foreign Banks,1994,Foreign,FY2018,17690.98,12136.01,441.75,138.35,3.64,1.14,68.6,-0.51,-5.79,-72.18
DBS Bank India,Foreign Banks,1994,Foreign,FY2019,20031.07,14943.18,496.11,116.56,3.32,0.78,74.6,0.02,0.2,3.2
DBS Bank India,Foreign Banks,1994,Foreign,FY2020,21671.64,14910.09,492.03,129.72,3.3,0.87,68.8,0.07,0.75,12.14
DBS Bank India,Foreign Banks,1994,Foreign,FY2021,23994.07,17275.73,433.62,145.12,2.51,0.84,72.0,0.3,3.26,57.59
DBS Bank India,Foreign Banks,1994,Foreign,FY2022,24712.73,19152.37,335.17,111.08,1.75,0.58,77.5,0.69,8.11,136.41
DBS Bank India,Foreign Banks,1994,Foreign,FY2023,26178.77,21859.27,426.26,120.23,1.95,0.55,83.5,0.86,7.9,180.11
DBS Bank India,Foreign Banks,1994,Foreign,FY2024,27833.38,22739.87,527.56,143.26,2.32,0.63,81.7,1.09,13.21,242.71
Barclays Bank PLC,Foreign Banks,1990,Foreign,FY2018,17598.6,14131.68,515.81,156.86,3.65,1.11,80.3,-0.26,-2.59,-36.61
Barclays Bank PLC,Foreign Banks,1990,Foreign,FY2019,19121.46,14360.22,481.07,156.53,3.35,1.09,75.1,-0.04,-0.49,-6.12
Barclays Bank PLC,Foreign Banks,1990,Foreign,FY2020,21488.54,16932.97,492.75,171.02,2.91,1.01,78.8,0.44,4.67,75.64
Barclays Bank PLC,Foreign Banks,1990,Foreign,FY2021,22831.11,16963.51,403.73,118.74,2.38,0.7,74.3,0.45,4.61,82.19
barclays bank plc  ,Foreign Banks,1990,Foreign,FY2022,24576.32,19316.99,550.53,171.92,2.85,0.89,78.6,0.88,9.82,173.02
Barclays Bank PLC,Foreign Banks,1990,Foreign,FY2023,26071.57,19423.32,316.6,85.46,1.63,0.44,74.5,1.25,12.45,260.72
Barclays Bank PLC,Foreign Banks,1990,Foreign,FY2024,28064.94,20739.99,427.24,124.44,2.06,0.6,73.9,1.21,13.38,271.67
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2018,7877.12,6467.12,602.74,168.79,9.32,2.61,82.1,-0.43,-4.15,-27.1
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2019,8022.79,6321.96,589.84,136.55,9.33,2.16,78.8,-0.15,-1.55,-9.63
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2020,8746.98,6175.37,471.8,125.36,7.64,2.03,70.6,0.27,3.05,18.89
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2021,10122.91,8381.77,523.02,138.3,6.24,1.65,82.8,0.34,4.06,27.53
aryavart bank  ,Regional Rural Banks,2019,RRB,FY2022,10833.25,8374.1,520.87,149.06,6.22,1.78,77.3,0.66,6.87,57.2
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2023,11582.87,7911.1,409.79,125.0,5.18,1.58,68.3,1.11,10.82,102.86
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2024,12542.62,9645.27,514.09,118.64,5.33,1.23,76.9,0.91,9.64,91.31
Baroda UP Bank,Regional Rural Banks,2020,RRB,FY2018,7441.12,5670.13,518.25,172.94,9.14,3.05,76.2,-0.5,-5.97,-29.76
Baroda UP Bank,Regional Rural Banks,2020,RRB,FY2019,7529.16,6286.85,527.47,149.63,8.39,2.38,83.5,-0.13,-1.33,-7.83
Baroda UP Bank,Regional Rural Banks,2020,RRB,FY2020,9374.49,7837.07,587.78,144.99,7.5,1.85,83.6,0.03,0.29,2.25
Baroda UP Bank,Regional Rural Banks,2020,RRB,FY2021,10072.43,7181.64,463.93,140.76,6.46,1.96,71.3,0.49,6.36,39.48
Baroda UP Bank,Regional Rural Banks,2020,RRB,FY2022,10186.85,8343.03,483.06,153.51,5.79,1.84,81.9,0.85,10.16,69.27
Baroda UP Bank,Regional Rural Banks,2020,RRB,FY2023,10869.5,7945.6,471.17,143.02,5.93,1.8,73.1,0.91,9.18,79.13
Baroda UP Bank,Regional Rural Banks,2020,RRB,FY2024,10719.5,7707.32,316.77,99.42,4.11,1.29,71.9,0.98,9.34,84.04
Kerala Gramin Bank,Regional Rural Banks,2013,RRB,FY2018,6624.83,4710.25,437.11,151.67,9.28,3.22,71.1,-0.29,-3.16,-15.37
Kerala Gramin Bank,Regional Rural Banks,2013,RRB,FY2019,7356.56,5480.64,486.68,116.74,8.88,2.13,74.5,-0.03,-0.32,-1.77
Kerala Gramin Bank,Regional Rural Banks,2013,RRB,FY2020,8556.9,6503.24,449.37,104.05,6.91,1.6,76.0,0.16,1.56,10.95
Kerala Gramin Bank,Regional Rural Banks,2013,RRB,FY2021,8857.97,6041.14,402.34,108.74,6.66,1.8,68.2,0.45,4.08,31.89
Kerala Gramin Bank,Regional Rural Banks,2013,RRB,FY2022,9489.44,7895.21,463.45,126.32,5.87,1.6,83.2,0.35,4.31,26.57
Kerala Gramin Bank,Regional Rural Banks,2013,RRB,FY2023,10999.95,8689.96,477.08,162.5,5.49,1.87,79.0,0.8,9.16,70.4
Kerala Gramin Bank,Regional Rural Banks,2013,RRB,FY2024,10983.04,7765.01,375.83,114.92,4.84,1.48,70.7,1.11,13.4,97.53
Karnataka Gramin Bank,Regional Rural Banks,2019,RRB,FY2018,7856.35,6292.94,624.89,159.21,9.93,2.53,80.1,-0.32,-3.17,-20.11
Karnataka Gramin Bank,Regional Rural Banks,2019,RRB,FY2019,8222.97,6068.55,509.76,123.8,8.4,2.04,73.8,0.1,1.15,6.58
Karnataka Gramin Bank,Regional Rural Banks,2019,RRB,FY2020,8907.67,7028.15,565.77,127.91,8.05,1.82,78.9,-0.04,-0.42,-2.85
Karnataka Gramin Bank,Regional Rural Banks,2019,RRB,FY2021,9612.57,6805.7,509.75,140.2,7.49,2.06,70.8,0.51,4.76,39.22
Karnataka Gramin Bank,Regional Rural Banks,2019,RRB,FY2022,11090.94,7608.38,461.07,105.0,6.06,1.38,68.6,0.89,9.27,78.97
Karnataka Gramin Bank,Regional Rural Banks,2019,RRB,FY2023,12342.76,10244.49,551.15,182.35,5.38,1.78,83.0,1.04,12.4,102.69
Karnataka Gramin Bank,Regional Rural Banks,2019,RRB,FY2024,12489.5,9591.94,412.45,124.7,4.3,1.3,76.8,0.96,10.2,95.92
maharashtra gramin bank  ,Regional Rural Banks,2008,RRB,FY2018,7043.22,5909.26,524.74,120.55,8.88,2.04,83.9,-0.23,-2.52,-12.96
Maharashtra Gramin Bank,Regional Rural Banks,2008,RRB,FY2019,7687.65,6419.19,523.81,129.03,8.16,2.01,83.5,0.09,1.01,5.54
Maharashtra Gramin Bank,Regional Rural Banks,2008,RRB,FY2020,8134.03,6067.99,469.06,125.61,7.73,2.07,74.6,0.24,2.24,15.62
Maharashtra Gramin Bank,Regional Rural Banks,2008,RRB,FY2021,9617.87,7559.65,527.66,170.85,6.98,2.26,78.6,0.59,5.67,45.4
Maharashtra Gramin Bank,Regional Rural Banks,2008,RRB,FY2022,10697.23,7734.1,433.88,128.39,5.61,1.66,72.3,0.41,5.03,35.09
Maharashtra Gramin Bank,Regional Rural Banks,2008,RRB,FY2023,11605.57,8982.71,495.85,171.57,5.52,1.91,77.4,0.89,11.32,82.63
Maharashtra Gramin Bank,Regional Rural Banks,2008,RRB,FY2024,11920.62,8189.47,352.97,83.53,4.31,1.02,68.7,,10.86,85.83
Prathama UP Gramin Bank,Regional Rural Banks,1975,RRB,FY2018,8253.87,5711.68,546.04,139.36,9.56,2.44,69.2,-0.32,-3.92,-21.13
Prathama UP Gramin Bank,Regional Rural Banks,1975,RRB,FY2019,9327.96,7611.62,621.11,149.19,8.16,1.96,81.6,,-1.62,-9.7
Prathama UP Gramin Bank,Regional Rural Banks,1975,RRB,FY2020,8239.05,6904.32,541.99,187.8,7.85,2.72,83.8,0.19,2.02,12.52
Prathama UP Gramin Bank,Regional Rural Banks,1975,RRB,FY2021,9695.04,7843.29,534.91,181.18,6.82,2.31,80.9,0.34,4.03,26.37
Prathama UP Gramin Bank,Regional Rural Banks,1975,RRB,FY2022,9906.28,7033.46,443.81,128.01,6.31,1.82,71.0,0.62,7.0,49.14
Prathama UP Gramin Bank,Regional Rural Banks,1975,RRB,FY2023,10444.6,8178.12,439.98,148.84,5.38,1.82,78.3,0.86,10.43,71.86
Prathama UP Gramin Bank,Regional Rural Banks,1975,RRB,FY2024,12142.91,9665.76,443.66,112.12,4.59,1.16,79.6,0.99,9.24,96.17
